                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4229,                 2.6386,                 1.3169,                 1.4758,                0.52822,                0.53886,                0.50226,                0.26285,                0.52523,                0.51613,                0.48451,                0.19772,                 1.5955,                 2.7833,                  1.494,                 1.6563,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.4037,                 2.6174,                 1.2956,                 1.4621,                 0.5252,                0.51521,                0.48629,                0.24862,                0.51985,                0.49327,                0.46535,                0.18722,                 1.6444,                 2.8532,                 1.5128,                 1.6977,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.4046,                 2.6189,                 1.2995,                 1.4728,                0.53461,                0.53057,                0.50386,                0.26315,                0.51456,                0.51459,                  0.475,                0.19428,                 1.5909,                 2.8103,                 1.5005,                 1.6529,               0.009307,               0.009307,               0.009307
                     38,                 1.3917,                 2.6004,                 1.2736,                 1.4536,                0.54211,                0.52122,                0.50197,                0.26324,                0.53083,                0.50436,                0.47548,                0.19459,                 1.6149,                  2.808,                 1.5016,                 1.6861,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.3889,                 2.5823,                 1.2619,                 1.4479,                0.55456,                0.50169,                0.49912,                 0.2623,                0.54114,                0.48571,                0.47514,                0.19448,                 1.6163,                 2.8493,                 1.4869,                 1.6614,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.3865,                 2.5787,                 1.2449,                 1.4509,                0.58937,                0.54624,                0.54758,                0.29243,                0.58948,                 0.5278,                0.52383,                0.21825,                 1.5435,                 2.7542,                 1.3956,                    1.6,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.3901,                 2.5829,                 1.2426,                 1.4357,                0.57226,                0.54992,                0.54445,                0.29534,                 0.5617,                0.53825,                0.52379,                0.21992,                 1.5582,                 2.7419,                 1.4001,                 1.6274,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.3556,                 2.5474,                 1.2213,                 1.4305,                0.54227,                0.51937,                0.49735,                0.25637,                0.53835,                0.49942,                0.47408,                0.18657,                 1.6133,                 2.8463,                 1.4976,                 1.6692,               0.009208,               0.009208,               0.009208
                     43,                 1.3542,                 2.5349,                 1.2099,                  1.423,                 0.5906,                0.55484,                0.54077,                0.29509,                0.57877,                0.54194,                0.52199,                0.21871,                 1.5328,                 2.7297,                 1.4024,                 1.5977,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.3613,                 2.5173,                  1.187,                 1.4261,                0.58593,                0.54071,                0.53553,                 0.2844,                0.57178,                0.52467,                0.51146,                0.21101,                 1.5561,                 2.7695,                 1.4253,                 1.6231,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.3487,                  2.516,                 1.1867,                 1.4123,                0.58205,                0.53523,                0.54168,                0.29254,                0.57643,                0.51951,                0.51949,                0.21595,                 1.5653,                 2.7356,                  1.399,                  1.621,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.3308,                 2.5044,                 1.1552,                 1.3918,                0.56924,                0.56129,                0.54759,                 0.3008,                0.57406,                0.53948,                0.53022,                0.22129,                 1.5436,                 2.7218,                 1.3605,                 1.5877,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.3386,                 2.5292,                 1.1855,                 1.4178,                0.56642,                0.53978,                0.53474,                0.28816,                0.56372,                0.51736,                0.51006,                 0.2142,                 1.5633,                 2.7533,                 1.4285,                 1.6202,               0.009109,               0.009109,               0.009109
                     48,                 1.3269,                  2.496,                 1.1692,                 1.4009,                0.61399,                0.53548,                0.55674,                 0.3037,                0.60201,                0.52504,                0.52915,                0.22571,                 1.5306,                  2.719,                 1.3981,                 1.6054,              0.0090892,              0.0090892,              0.0090892
                     49,                  1.317,                 2.4909,                 1.1393,                 1.3978,                0.61837,                0.55853,                0.56921,                  0.312,                 0.6109,                0.53877,                 0.5422,                0.23299,                 1.5441,                 2.6998,                 1.3547,                  1.607,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.3062,                 2.4758,                 1.1388,                 1.3905,                0.61799,                0.57056,                0.57797,                0.31763,                  0.619,                0.55207,                 0.5528,                0.23702,                 1.5284,                 2.7157,                 1.3408,                 1.5901,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.3017,                 2.4733,                 1.1209,                 1.3776,                  0.615,                0.56129,                0.57433,                0.30982,                0.60575,                0.54071,                0.54446,                0.23371,                 1.5364,                 2.7113,                 1.3479,                  1.589,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.2883,                 2.4535,                  1.098,                 1.3731,                0.59092,                0.55029,                0.55007,                 0.2905,                0.57912,                 0.5404,                0.52595,                0.21526,                 1.5918,                 2.7837,                 1.3958,                  1.648,                0.00901,                0.00901,                0.00901
                     53,                 1.2978,                 2.4602,                  1.105,                 1.3744,                0.61764,                0.58003,                0.59331,                0.32828,                0.62747,                0.55853,                0.56655,                0.24796,                 1.5085,                 2.6715,                 1.3025,                  1.574,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.2749,                 2.4104,                 1.0768,                 1.3531,                0.61586,                0.56129,                0.57333,                0.31539,                0.61008,                0.54378,                0.54332,                0.23267,                 1.5398,                 2.7244,                 1.3311,                 1.6079,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.2791,                 2.4237,                 1.0841,                 1.3606,                 0.6198,                0.55422,                0.57024,                0.31331,                0.61435,                0.53026,                 0.5478,                0.23935,                 1.5102,                 2.6864,                 1.3497,                 1.5752,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.2738,                 2.4181,                 1.0753,                 1.3621,                0.61281,                0.54119,                0.56684,                0.31215,                0.61251,                 0.5235,                 0.5484,                0.23728,                 1.5402,                 2.7073,                 1.3591,                 1.5993,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.2618,                 2.3982,                 1.0595,                 1.3499,                0.59371,                0.57204,                0.55651,                0.30058,                 0.5942,                0.55467,                0.53713,                0.22995,                 1.5462,                 2.7485,                  1.371,                 1.5992,               0.008911,               0.008911,               0.008911
                     58,                 1.2567,                 2.4037,                 1.0441,                 1.3415,                0.60847,                0.58678,                 0.5893,                0.32077,                0.61537,                0.55054,                0.56574,                0.24391,                 1.5274,                 2.7424,                 1.3084,                 1.5896,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.2491,                  2.393,                 1.0365,                 1.3415,                0.60658,                0.58372,                0.58373,                0.32452,                0.60838,                 0.5533,                0.56062,                 0.2429,                 1.4978,                 2.6539,                 1.2865,                 1.5616,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.2487,                 2.3911,                 1.0518,                 1.3444,                0.61725,                0.57819,                0.58709,                0.32799,                0.61759,                 0.5576,                0.56883,                0.24739,                 1.5016,                 2.6849,                 1.2892,                 1.5751,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.2336,                 2.3656,                 1.0122,                 1.3341,                0.61831,                0.59201,                0.59693,                0.33258,                0.63498,                0.56384,                0.58283,                0.25837,                 1.5109,                 2.6543,                 1.2927,                 1.5862,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.2257,                 2.3653,                 1.0027,                 1.3178,                0.62444,                0.59203,                0.59912,                0.33749,                0.61828,                 0.5817,                0.58151,                 0.2578,                  1.488,                 2.6362,                 1.2621,                 1.5542,               0.008812,               0.008812,               0.008812
                     63,                 1.2151,                  2.352,                0.99049,                 1.3143,                0.62123,                0.57757,                0.58058,                0.31621,                0.61639,                0.56473,                0.55949,                0.24214,                 1.5441,                 2.7456,                 1.3242,                 1.5993,              0.0087922,              0.0087922,              0.0087922
